SpecFile	Scan	Compound	Origin	Score	CompoundMass	SpectrumMZ	RetentionTime	Adduct
MSV000079450/ccms_peak/mzXML/P3-D-04_P1-D-4_01_3491.mzXML	580	massetolide_F	pseudomonas	174.208	1125.69	1126.7	205.448	M+H
MSV000079450/ccms_peak/mzXML/P3-D-04_P1-D-4_01_3491.mzXML	613	massetolide_F	pseudomonas	175.825	1125.69	1126.7	216.568	M+H
MSV000079450/ccms_peak/mzXML/P3-G-06_Bat_P1-A-02_P2-A-2_01_8425.mzXML	625	massetolide_F	pseudomonas	167.666	1125.69	1126.69	220.616	M+H
MSV000079450/ccms_peak/mzXML/P3-G-06_Bat_P1-A-02_P2-A-2_01_8425.mzXML	636	massetolide_F	pseudomonas	176.704	1125.69	1126.69	224.322	M+H
MSV000079450/ccms_peak/mzXML/P3-G-06_Bat_P1-A-02_P2-A-2_01_8425.mzXML	647	massetolide_F	pseudomonas	165.933	1125.69	1126.69	228.028	M+H
MSV000079450/ccms_peak/mzXML/P3-G-10_Bat_P1-A-06_P2-A-6_01_8433.mzXML	662	massetolide_F	pseudomonas	140.952	1125.69	1126.69	233.092	M+H
MSV000079450/ccms_peak/mzXML/P3-G-11_Bat_P1-A-07_P2-A-7_01_8435.mzXML	614	massetolide_F	pseudomonas	154.216	1125.69	1126.69	216.889	M+H
MSV000079450/ccms_peak/mzXML/P3-G-11_Bat_P1-A-07_P2-A-7_01_8435.mzXML	636	massetolide_F	pseudomonas	162.373	1125.69	1126.69	224.301	M+H
MSV000079450/ccms_peak/mzXML/P1-H-08_P1-H-8_01_3313.mzXML	759	massetolide_H	pseudomonas	156.803	1153.72	1154.71	265.779	M+H
MSV000079450/ccms_peak/mzXML/P1-H-08_P1-H-8_01_3313.mzXML	770	massetolide_H	pseudomonas	124.459	1153.72	1154.71	269.485	M+H
MSV000079450/ccms_peak/mzXML/P1-H-08_P1-H-8_01_3313.mzXML	778	massetolide_H	pseudomonas	155.475	1153.72	1154.71	272.183	M+H
MSV000079450/ccms_peak/mzXML/P1-H-08_P1-H-8_01_3313.mzXML	789	massetolide_H	pseudomonas	162.891	1153.72	1154.72	275.889	M+H
MSV000079450/ccms_peak/mzXML/P1-H-08_P1-H-8_01_3313.mzXML	800	massetolide_H	pseudomonas	152.827	1153.72	1154.72	279.595	M+H
MSV000079450/ccms_peak/mzXML/P3-D-04_P1-D-4_01_3491.mzXML	727	massetolide_H	pseudomonas	140.605	1153.72	1154.72	254.975	M+H
MSV000079450/ccms_peak/mzXML/P2-G-11_P1-G-11_01_3423.mzXML	615	massetolide_I	pseudomonas	150.355	1111.67	1112.66	217.226	M+H
MSV000079450/ccms_peak/mzXML/P2-F-12_P2-F-12_01_12453.mzXML	436	Bacillomycin_D1;_Raubitschek_substance	bacillus	112.808	1044.55	1045.56	156.919	M+H
MSV000079450/ccms_peak/mzXML/P3-C-12_P1-C-12_01_12593.mzXML	436	Bacillomycin_D1;_Raubitschek_substance	bacillus	102.744	1044.55	1045.56	156.925	M+H
MSV000079450/ccms_peak/mzXML/P2-F-11_P2-F-11_01_12451.mzXML	957	Esperin	bacillus	113.09	1035.68	1036.69	332.465	M+H
MSV000079450/ccms_peak/mzXML/P2-F-12_P2-F-12_01_12453.mzXML	953	Esperin	bacillus	124.658	1035.68	1036.69	331.116	M+H
MSV000079450/ccms_peak/mzXML/P2-F-12_P2-F-12_01_12453.mzXML	964	Esperin	bacillus	117.05	1035.68	1036.69	334.822	M+H
MSV000079450/ccms_peak/mzXML/P3-A-09_P1-A-9_01_3451.mzXML	847	Esperin	bacillus	119.278	1035.68	1036.69	295.399	M+H
MSV000079450/ccms_peak/mzXML/P3-C-12_P1-C-12_01_12593.mzXML	947	Esperin	bacillus	121.094	1035.68	1036.69	329.094	M+H
MSV000079450/ccms_peak/mzXML/P3-C-12_P1-C-12_01_12593.mzXML	975	Esperin	bacillus	119.687	1035.68	1036.69	338.533	M+H
MSV000079450/ccms_peak/mzXML/P1-F-08_P1-F-8_01_3283.mzXML	560	Viscosin	pseudomonas	132.21	1125.69	1126.7	198.702	M+H
MSV000079450/ccms_peak/mzXML/P2-B-02_P1-B-2_01_3339.mzXML	537	Viscosin	pseudomonas	178.452	1125.69	1126.7	190.982	M+H
MSV000079450/ccms_peak/mzXML/P2-F-12_P2-F-12_01_12453.mzXML	403	Bacillomycin_D2;_Raubitschek_substance	bacillus	115.959	1030.53	1031.54	145.8	M+H
MSV000079450/ccms_peak/mzXML/P3-C-12_P1-C-12_01_12593.mzXML	403	Bacillomycin_D2;_Raubitschek_substance	bacillus	131.211	1030.53	1031.54	145.807	M+H
MSV000079450/ccms_peak/mzXML/P2-F-12_P2-F-12_01_12453.mzXML	475	Bacillomycin_D4;_Raubitschek_substance	bacillus	118.137	1058.56	1059.57	170.053	M+H
MSV000079450/ccms_peak/mzXML/P3-B-08_P1-B-8_01_3465.mzXML	702	"Massetolide_A;N-[(3R)-3-hydroxy-1-oxod"	pseudomonas	103.45	1139.71	1140.72	246.534	M+H
MSV000079450/ccms_peak/mzXML/P3-D-02_P1-D-2_01_3489.mzXML	691	"Massetolide_A;N-[(3R)-3-hydroxy-1-oxod"	pseudomonas	143.965	1139.71	1140.71	242.83	M+H
MSV000079450/ccms_peak/mzXML/P3-D-02_P1-D-2_01_3489.mzXML	712	"Massetolide_A;N-[(3R)-3-hydroxy-1-oxod"	pseudomonas	145.573	1139.71	1140.71	249.906	M+H
MSV000079450/ccms_peak/mzXML/P3-D-02_P1-D-2_01_3489.mzXML	723	"Massetolide_A;N-[(3R)-3-hydroxy-1-oxod"	pseudomonas	146.883	1139.71	1140.71	253.612	M+H
MSV000079450/ccms_peak/mzXML/P3-B-08_P1-B-8_01_3465.mzXML	734	Massetolide_D	pseudomonas	187.164	1139.71	1140.72	257.317	M+H
MSV000079450/ccms_peak/mzXML/P3-D-02_P1-D-2_01_3489.mzXML	701	Massetolide_D	pseudomonas	171.095	1139.71	1140.71	246.2	M+H
MSV000079450/ccms_peak/mzXML/P2-G-11_P1-G-11_01_3423.mzXML	568	Massetolide_E	pseudomonas	191.67	1111.67	1112.66	201.383	M+H
MSV000079450/ccms_peak/mzXML/P1-E-07_P1-E-7_01_3267.mzXML	548	Massetolide_F	pseudomonas	178.253	1125.69	1126.72	194.664	M+H
MSV000079450/ccms_peak/mzXML/P1-E-07_P1-E-7_01_3267.mzXML	571	Massetolide_F	pseudomonas	190.502	1125.69	1126.72	202.412	M+H
MSV000079450/ccms_peak/mzXML/P1-E-07_P1-E-7_01_3267.mzXML	592	Massetolide_F	pseudomonas	185.471	1125.69	1126.72	209.488	M+H
MSV000079450/ccms_peak/mzXML/P1-F-08_P1-F-8_01_3283.mzXML	573	Massetolide_F	pseudomonas	160.484	1125.69	1126.7	203.08	M+H
MSV000079450/ccms_peak/mzXML/P1-F-08_P1-F-8_01_3283.mzXML	602	Massetolide_F	pseudomonas	183.662	1125.69	1126.7	212.855	M+H
MSV000079450/ccms_peak/mzXML/P1-H-08_P1-H-8_01_3313.mzXML	639	Massetolide_F	pseudomonas	115.534	1125.69	1126.68	225.344	M+H
MSV000079450/ccms_peak/mzXML/P2-B-01_P1-B-1_01_3338.mzXML	604	Massetolide_F	pseudomonas	121.421	1125.69	1126.7	213.539	M+H
MSV000079450/ccms_peak/mzXML/P2-B-02_P1-B-2_01_3339.mzXML	559	Massetolide_F	pseudomonas	157.338	1125.69	1126.7	198.394	M+H
MSV000079450/ccms_peak/mzXML/P2-B-02_P1-B-2_01_3339.mzXML	570	Massetolide_F	pseudomonas	193.004	1125.69	1126.7	202.101	M+H
MSV000079450/ccms_peak/mzXML/P2-G-11_P1-G-11_01_3423.mzXML	559	Massetolide_F	pseudomonas	183.575	1125.69	1126.68	198.358	M+H
MSV000079450/ccms_peak/mzXML/P2-G-11_P1-G-11_01_3423.mzXML	592	Massetolide_F	pseudomonas	176.693	1125.69	1126.68	209.477	M+H
MSV000079450/ccms_peak/mzXML/P2-H-11_P1-H-11_01_3438.mzXML	603	Massetolide_F	pseudomonas	172.018	1125.69	1126.68	213.216	M+H
MSV000079450/ccms_peak/mzXML/P3-D-03_P1-D-3_01_3490.mzXML	614	Massetolide_F	pseudomonas	139.004	1125.69	1126.69	216.923	M+H
MSV000079450/ccms_peak/mzXML/P3-D-04_P1-D-4_01_3491.mzXML	504	Massetolide_F	pseudomonas	113.41	1125.69	1126.7	179.84	M+H
MSV000079450/ccms_peak/mzXML/P3-D-04_P1-D-4_01_3491.mzXML	525	Massetolide_F	pseudomonas	159.237	1125.69	1126.7	186.916	M+H
MSV000079450/ccms_peak/mzXML/P3-D-04_P1-D-4_01_3491.mzXML	536	Massetolide_F	pseudomonas	178.032	1125.69	1126.69	190.622	M+H
MSV000079450/ccms_peak/mzXML/P3-D-04_P1-D-4_01_3491.mzXML	624	Massetolide_F	pseudomonas	174.464	1125.69	1126.7	220.274	M+H
MSV000079450/ccms_peak/mzXML/P3-G-11_Bat_P1-A-07_P2-A-7_01_8435.mzXML	603	Massetolide_F	pseudomonas	125.653	1125.69	1126.69	213.183	M+H
MSV000079450/ccms_peak/mzXML/P3-G-11_Bat_P1-A-07_P2-A-7_01_8435.mzXML	625	Massetolide_F	pseudomonas	167.102	1125.69	1126.69	220.595	M+H
MSV000079450/ccms_peak/mzXML/P2-F-11_P2-F-11_01_12451.mzXML	913	Bacirtsin-2;_Bacircine_3;_Surfactin-B;_S	bacillus	104.4	1021.67	1022.67	317.64	M+H
MSV000079450/ccms_peak/mzXML/P3-C-12_P1-C-12_01_12593.mzXML	903	Bacirtsin-2;_Bacircine_3;_Surfactin-B;_S	bacillus	106.948	1021.67	1022.67	314.27	M+H
MSV000079450/ccms_peak/mzXML/P2-F-11_P2-F-11_01_12451.mzXML	924	[Ile7]-Surfactin_C14i	bacillus	113.225	1021.67	1022.68	321.344	M+H
MSV000079450/ccms_peak/mzXML/P2-F-12_P2-F-12_01_12453.mzXML	909	[Val7]-Surfactin_C14i_monomethyl_ester	bacillus	114.919	1021.67	1022.67	316.291	M+H
MSV000079450/ccms_peak/mzXML/P3-C-12_P1-C-12_01_12593.mzXML	910	[Val7]-Surfactin_C14i_monomethyl_ester	bacillus	113.746	1021.67	1022.68	316.632	M+H
MSV000079450/ccms_peak/mzXML/P3-C-12_P1-C-12_01_12593.mzXML	920	[Val7]-Surfactin_C14i_monomethyl_ester	bacillus	126.785	1021.67	1022.68	320.002	M+H
MSV000079450/ccms_peak/mzXML/P3-C-12_P1-C-12_01_12593.mzXML	931	[Val7]-Surfactin_C14i_monomethyl_ester	bacillus	109.766	1021.67	1022.68	323.708	M+H
MSV000079450/ccms_peak/mzXML/P3-B-03_P1-B-3_01_3460.mzXML	184	L-Valyl-L-leucyl-L-prolyl-L-valyl-L-prol	none	103.342	651.396	652.406	71.995	M+H
MSV000079450/ccms_peak/mzXML/P3-C-12_P1-C-12_01_12593.mzXML	964	C14-Surfactin_methyl_ester	multiple	104.491	1035.68	1036.69	334.827	M+H
MSV000079450/ccms_peak/mzXML/P1-H-07_P1-H-7_01_3312.mzXML	503	Pseudodesmin_A	pseudomonas	176.986	1124.71	1125.7	179.522	M+H
MSV000079450/ccms_peak/mzXML/P1-H-07_P1-H-7_01_3312.mzXML	536	Pseudodesmin_A	pseudomonas	179.302	1124.71	1125.7	190.642	M+H
MSV000079450/ccms_peak/mzXML/P1-H-07_P1-H-7_01_3312.mzXML	547	Pseudodesmin_A	pseudomonas	167.8	1124.71	1125.7	194.348	M+H
MSV000079450/ccms_peak/mzXML/P1-H-07_P1-H-7_01_3312.mzXML	558	Pseudodesmin_A	pseudomonas	183.917	1124.71	1125.7	198.055	M+H
MSV000079450/ccms_peak/mzXML/P1-H-07_P1-H-7_01_3312.mzXML	569	Pseudodesmin_A	pseudomonas	179.313	1124.71	1125.7	201.761	M+H
MSV000079450/ccms_peak/mzXML/P1-H-07_P1-H-7_01_3312.mzXML	580	Pseudodesmin_A	pseudomonas	168.559	1124.71	1125.7	205.469	M+H
MSV000079450/ccms_peak/mzXML/P2-F-08_P2-F-8_01_12445.mzXML	737	Pseudodesmin_A	pseudomonas	121.748	1124.71	1125.71	258.345	M+H
MSV000079450/ccms_peak/mzXML/P2-F-08_P2-F-8_01_12445.mzXML	748	Pseudodesmin_A	pseudomonas	129.259	1124.71	1125.71	262.051	M+H
MSV000079450/ccms_peak/mzXML/P2-F-08_P2-F-8_01_12445.mzXML	759	Pseudodesmin_A	pseudomonas	131.272	1124.71	1125.71	265.757	M+H
MSV000079450/ccms_peak/mzXML/P2-F-08_P2-F-8_01_12445.mzXML	770	Pseudodesmin_A	pseudomonas	167.577	1124.71	1125.71	269.463	M+H
MSV000079450/ccms_peak/mzXML/P2-H-06_P1-H-6_01_3433.mzXML	658	Pseudodesmin_A	pseudomonas	197.617	1124.71	1125.7	231.73	M+H
MSV000079450/ccms_peak/mzXML/P3-A-03_P1-A-3_01_3445.mzXML	740	Orfamide_A	pseudomonas	110.593	1294.84	1295.84	259.371	M+H
MSV000079450/ccms_peak/mzXML/P3-A-03_P1-A-3_01_3445.mzXML	747	Orfamide_A	pseudomonas	112.067	1294.84	1295.84	261.734	M+H
MSV000079450/ccms_peak/mzXML/P3-A-03_P1-A-3_01_3445.mzXML	757	Orfamide_A	pseudomonas	106.275	1294.84	1295.84	265.104	M+H
MSV000079450/ccms_peak/mzXML/P3-A-03_P1-A-3_01_3445.mzXML	768	Orfamide_A	pseudomonas	132.595	1294.84	1295.84	268.81	M+H
MSV000079450/ccms_peak/mzXML/P3-A-03_P1-A-3_01_3445.mzXML	779	Orfamide_A	pseudomonas	148.741	1294.84	1295.84	272.516	M+H
MSV000079450/ccms_peak/mzXML/P3-A-03_P1-A-3_01_3445.mzXML	794	Orfamide_A	pseudomonas	170.166	1294.84	1295.84	277.566	M+H
MSV000079450/ccms_peak/mzXML/P3-A-03_P1-A-3_01_3445.mzXML	800	Orfamide_A	pseudomonas	160.214	1294.84	1295.85	279.591	M+H
MSV000079450/ccms_peak/mzXML/P3-A-03_P1-A-3_01_3445.mzXML	811	Orfamide_A	pseudomonas	164.786	1294.84	1295.85	283.298	M+H
MSV000079450/ccms_peak/mzXML/P3-A-03_P1-A-3_01_3445.mzXML	822	Orfamide_A	pseudomonas	193.631	1294.84	1295.85	287.004	M+H
MSV000079450/ccms_peak/mzXML/P3-A-03_P1-A-3_01_3445.mzXML	725	Orfamide_C	pseudomonas	151.087	1266.81	1267.81	254.321	M+H
MSV000079450/ccms_peak/mzXML/P2-F-12_P2-F-12_01_12453.mzXML	944	Surfactin-variant	bacillus	106.539	1035.68	1036.69	328.082	M+H
MSV000079450/ccms_peak/mzXML/P3-C-12_P1-C-12_01_12593.mzXML	953	Surfactin-variant	bacillus	109.146	1035.68	1036.69	331.12	M+H
